QmHash/bafyHash
Paste in a CID or IPFS path
Inspect
Browse

Files/
RO_R....csv
399KiB
FILES
230MiB
ALL BLOCKS
More
NR_CRT,SIRUTA,JUDET,UAT,TIP_PROPRIETATE,NUMAR_IMOBILE_TEREN,SUPRAFATA_CADASTRATA_HA,SUPRAFATA_UAT_HA,NR_APARTAMENTE
86,5755,ALBA,Miraslau,intravilan,933,862.9937,6665.54,5
87,5826,ALBA,Mogo?,extravilan,1644,1215.5422,10264.63,0
88,5826,ALBA,Mogo?,intravilan,1111,810.673,10264.63,0
89,6048,ALBA,No?lac,extravilan,861,571.7476,5179.03,0
90,6048,ALBA,No?lac,intravilan,663,313.0574,5179.03,3
91,1794,ALBA,Ocna Mure?,extravilan,830,1215.4526,6767.39,0
92,1794,ALBA,Ocna Mure?,intravilan,7895,2526.2258,6767.39,1803
93,6119,ALBA,Ocoli?,extravilan,254,214.739,9195.46,0
94,6119,ALBA,Ocoli?,intravilan,775,497.735,9195.46,4
95,6164,ALBA,Ohaba,extravilan,98,583.8581,4012.9,0
96,6164,ALBA,Ohaba,intravilan,349,235.6352,4012.9,3
97,6217,ALBA,Pianu,extravilan,2838,1451.4752,12267.15,0
98,6217,ALBA,Pianu,intravilan,3893,3756.2518,12267.15,29
99,6271,ALBA,Poiana Vadului,extravilan,159,147.9665,3240.01,0
100,6271,ALBA,Poiana Vadului,intravilan,4295,7718.0762,3240.01,0
101,6397,ALBA,Ponor,extravilan,1156,1881.1219,5128.65,0
102,6397,ALBA,Ponor,intravilan,562,440.7408,5128.65,2
103,6468,ALBA,Po?aga,extravilan,167,1902.1778,13368.97,0
104,6468,ALBA,Po?aga,intravilan,825,2523.3397,13368.97,0
105,6761,ALBA,Ro?ia Montana,extravilan,697,437.1133,4274.01,0
106,6761,ALBA,Ro?ia Montana,intravilan,3334,2032.0893,4274.01,163
107,6930,ALBA,Ro?ia de Seca?,extravilan,3197,2545.1453,5233.55,0
108,6930,ALBA,Ro?ia de Seca?,intravilan,429,126.1382,5233.55,5
109,6592,ALBA,Rametea,extravilan,364,575.5512,5652.55,0
110,6592,ALBA,Rametea,intravilan,604,643.4201,5652.55,7
111,6627,ALBA,Rame?,extravilan,110,102.7925,8234.52,0
112,6627,ALBA,Rame?,intravilan,412,568.9414,8234.52,5
113,6547,ALBA,Rade?ti,extravilan,611,414.3449,3304.71,0
114,6547,ALBA,Rade?ti,intravilan,493,556.335,3304.71,0
115,7197,ALBA,Scari?oara,extravilan,335,369.7751,5562.22,0
116,7197,ALBA,Scari?oara,intravilan,2280,11172.6709,5562.22,4
117,1874,ALBA,Sebe?,extravilan,5910,2797.3215,11385.57,0
118,1874,ALBA,Sebe?,intravilan,9686,2702.276,11385.57,3552
119,7446,ALBA,Sohodol,extravilan,342,210.4919,5043.59,0
120,7446,ALBA,Sohodol,intravilan,1791,1337.8906,5043.59,0
121,7767,ALBA,Strem?,extravilan,2183,1057.8423,6893,0
122,7767,ALBA,Strem?,intravilan,1550,946.4089,6893,2
123,7348,ALBA,Sancel,extravilan,1867,1768.808,5198.09,0
124,7348,ALBA,Sancel,intravilan,712,131.7341,5198.09,10
125,7384,ALBA,Santimbru,extravilan,10278,4122.7976,4485.46,0
126,7384,ALBA,Santimbru,intravilan,2892,1157.5904,4485.46,149
127,6976,ALBA,Salciua,extravilan,65,67.9247,7898.7,0
128,6976,ALBA,Salciua,intravilan,1147,1975.0183,7898.7,8
129,7044,ALBA,Sali?tea,extravilan,3658,1106.1618,6012.26,0
130,7044,ALBA,Sali?tea,intravilan,674,187.8534,6012.26,8
131,7099,ALBA,Sasciori,extravilan,1738,411.2622,11708.86,0
132,7099,ALBA,Sasciori,intravilan,2698,5032.6618,11708.86,72
133,8096,ALBA,Teiu?,extravilan,1500,1246.8101,4407.03,0
134,8096,ALBA,Teiu?,intravilan,2488,690.974,4407.03,198
135,8158,ALBA,Unirea,extravilan,2017,1948.3069,9853.42,0
136,8158,ALBA,Unirea,intravilan,1579,1122.6224,9853.42,20
137,8229,ALBA,Vadu Mo?ilor,extravilan,108,69.8312,2860.09,0
138,8229,ALBA,Vadu Mo?ilor,intravilan,792,450.3473,2860.09,6
139,8354,ALBA,Valea Lunga,extravilan,553,1837.3436,7470.8,0
140,8354,ALBA,Valea Lunga,intravilan,1277,291.5576,7470.8,15
141,8425,ALBA,Vidra,extravilan,579,159.9311,6028.68,0
142,8425,ALBA,Vidra,intravilan,1573,894.0846,6028.68,0
143,8826,ALBA,Vin?u de Jos,extravilan,12473,7855.6864,8862.35,0
144,8826,ALBA,Vin?u de Jos,intravilan,8521,4098.7079,8862.35,24
145,1936,ALBA,Zlatna,extravilan,878,814.2569,26683.14,0
146,1936,ALBA,Zlatna,intravilan,5444,2816.6963,26683.14,623
147,4981,ALBA,Intregalde,extravilan,32,263.54,8195.36,0
148,4981,ALBA,Intregalde,intravilan,605,829.6378,8195.36,3
149,7810,ALBA,?ibot,extravilan,3366,1389.5463,4405.97,0
150,7810,ALBA,?ibot,intravilan,977,316.8762,4405.97,8
151,7865,ALBA,?ona,extravilan,2234,2699.9712,10562.56,0
152,7865,ALBA,?ona,intravilan,1348,478.9303,10562.56,24
153,7945,ALBA,?pring,extravilan,960,607.5139,8802.61,0
154,7945,ALBA,?pring,intravilan,2430,942.6444,8802.61,0
155,8014,ALBA,?ugag,extravilan,288,2199.9453,24270.18,0
156,8014,ALBA,?ugag,intravilan,1355,1094.5149,24270.18,65
157,9743,ARAD,Alma?,extravilan,1661,2083.1278,8117.81,0
158,9743,ARAD,Alma?,intravilan,786,193.3652,8117.81,15
159,9798,ARAD,Apateu,extravilan,5263,3183.6164,9065.64,0
160,9798,ARAD,Apateu,intravilan,752,182.0433,9065.64,3
161,9262,ARAD,Arad,extravilan,9016,15709.7769,23953.05,0
162,9262,ARAD,Arad,intravilan,32288,6420.459,23953.05,53784
163,9832,ARAD,Archi?,extravilan,1209,992.4876,6766.72,0
164,9832,ARAD,Archi?,intravilan,459,174.1936,6766.72,2
165,9887,ARAD,Bata,extravilan,3067,5129.6063,7826.78,0
166,9887,ARAD,Bata,intravilan,587,217.9947,7826.78,22
167,9930,ARAD,Beliu,extravilan,3853,4880.3669,9263.18,0
168,9930,ARAD,Beliu,intravilan,996,399.0977,9263.18,45
169,10006,ARAD,Birchi?,extravilan,2730,5488.6833,10391.86,0
170,10006,ARAD,Birchi?,intravilan,661,361.1012,10391.86,10
171,10195,ARAD,Bocsig,extravilan,6030,5333.1182,8126.23,0
172,10195,ARAD,Bocsig,intravilan,1008,1306.255,8126.23,44
173,10239,ARAD,Brazii,extravilan,335,973.0592,11876.82,0
174,10239,ARAD,Brazii,intravilan,334,87.1479,11876.82,0
175,10293,ARAD,Buteni,extravilan,4712,5682.4472,9567.74,0
176,10293,ARAD,Buteni,intravilan,989,262.597,9567.74,24
177,10051,ARAD,Barsa,extravilan,6856,4757.1865,5096.36,0
178,10051,ARAD,Barsa,intravilan,1269,349.2486,5096.36,4
179,10104,ARAD,Barzava,extravilan,1499,2491.3384,25637.03,0
180,10104,ARAD,Barzava,intravilan,1089,1843.9087,25637.03,47
181,10373,ARAD,Cermei,extravilan,4919,8023.1073,11543.47,0
182,10373,ARAD,Cermei,intravilan,1049,344.5837,11543.47,14
183,10417,ARAD,Chisindia,extravilan,429,4930.1197,12869.72,0
184,10417,ARAD,Chisindia,intravilan,466,265.0575,12869.72,6
185,9459,ARAD,Chi?ineu-Cri?,extravilan,3312,6233.9185,11755.4,0
186,9459,ARAD,Chi?ineu-Cri?,intravilan,2549,755.0273,11755.4,772
187,10453,ARAD,Conop,extravilan,4787,6567.8712,19146.33,0
188,10453,ARAD,Conop,intravilan,961,274.1365,19146.33,12
189,10514,ARAD,Covasin?,extravilan,1726,2008.2395,3748.8,0
190,10514,ARAD,Covasin?,intravilan,1373,436.9566,3748.8,18
191,10532,ARAD,Craiva,extravilan,2570,2880.2849,11468.11,0
192,10532,ARAD,Craiva,intravilan,580,476.8223,11468.11,2
193,9495,ARAD,Curtici,extravilan,4510,4735.1685,7260.4,0
194,9495,ARAD,Curtici,intravilan,2846,631.5565,7260.4,106
195,10346,ARAD,Carand,extravilan,1198,1463.3081,3820.12,0
196,10346,ARAD,Carand,intravilan,269,66.7701,3820.12,0
197,10649,ARAD,Dezna,extravilan,626,569.3805,8308.01,0
198,10649,ARAD,Dezna,intravilan,588,120.8957,8308.01,21
199,10701,ARAD,Dieci,extravilan,3958,2787.1401,8372.76,0
200,10701,ARAD,Dieci,intravilan,482,108.7073,8372.76,11
201,12912,ARAD,Doroban?i,extravilan,1463,1550.2492,2811.14,0
202,12912,ARAD,Doroban?i,intravilan,543,171.4433,2811.14,4
203,10827,ARAD,Felnac,extravilan,3442,4217.1669,5000.97,0
204,10827,ARAD,Felnac,intravilan,981,408.6331,5000.97,14
205,12920,ARAD,Frumu?eni,extravilan,2857,3953.4172,4445.51,0
206,12920,ARAD,Frumu?eni,intravilan,1864,753.4552,4445.51,23
207,9280,ARAD,Fantanele,extravilan,1979,3545.8001,4067.26,0
208,9280,ARAD,Fantanele,intravilan,2432,627.2335,4067.26,78
209,10872,ARAD,Ghioroc,extravilan,2290,2073.8786,4861.01,0
210,10872,ARAD,Ghioroc,intravilan,2987,735.1101,4861.01,123
211,10916,ARAD,Graniceri,extravilan,1056,2355.6131,7906.22,0
212,10916,ARAD,Graniceri,intravilan,769,230.0638,7906.22,24
213,10943,ARAD,Gurahon?,extravilan,2808,1956.3073,17081.05,0
214,10943,ARAD,Gurahon?,intravilan,1715,321.945,17081.05,46
215,11058,ARAD,Halmagiu,extravilan,740,1706.2361,9668.01,0
216,11058,ARAD,Halmagiu,intravilan,569,204.0811,9668.01,17
217,11174,ARAD,Halmagel,extravilan,259,2737.4791,8369.35,0
218,11174,ARAD,Halmagel,intravilan,167,50.3629,8369.35,3
219,11236,ARAD,Ha?ma?,extravilan,345,215.4115,8835.35,0
220,11236,ARAD,Ha?ma?,intravilan,438,134.3685,8835.35,7
221,11307,ARAD,Igne?ti,extravilan,898,842.8586,5169.37,0
222,11307,ARAD,Igne?ti,intravilan,238,51.0668,5169.37,2
223,9538,ARAD,Ineu,extravilan,6676,8292.9712,11687.29,0
224,9538,ARAD,Ineu,intravilan,3361,874.5373,11687.29,1015
225,11352,ARAD,Irato?u,extravilan,2486,3644.6582,4641.18,0
226,11352,ARAD,Irato?u,intravilan,998,446.8457,4641.18,32
227,9574,ARAD,Lipova,extravilan,2784,4748.2539,13415.25,0
228,9574,ARAD,Lipova,intravilan,3373,1279.0365,13415.25,1297
229,9333,ARAD,Livada,extravilan,1059,1314.2836,2007.14,0
230,9333,ARAD,Livada,intravilan,2851,414.4178,2007.14,34
231,11398,ARAD,Macea,extravilan,3701,5014.758,7281.61,0
232,11398,ARAD,Macea,intravilan,2395,413.2951,7281.61,44
233,11423,ARAD,Mi?ca,extravilan,3968,4266.0846,10424.12,0
234,11423,ARAD,Mi?ca,intravilan,757,233.945,10424.12,12
235,11478,ARAD,Moneasa,extravilan,197,631.776,6887.9,0
236,11478,ARAD,Moneasa,intravilan,532,3314.0903,6887.9,73
237,9627,ARAD,Nadlac,extravilan,5837,7911.3203,13260.88,0
238,9627,ARAD,Nadlac,intravilan,2829,796.1102,13260.88,284
239,11502,ARAD,Olari,extravilan,3728,3723.0584,5014.16,0
240,11502,ARAD,Olari,intravilan,621,171.6194,5014.16,8
241,26564,ARAD,Oradea,extravilan,1,.19,11524.45,0
242,11584,ARAD,Pecica,extravilan,7829,15715.3406,23579.54,0
243,11584,ARAD,Pecica,intravilan,5460,2774.7844,23579.54,505
244,11637,ARAD,Peregu Mare,extravilan,2299,2267.5615,3305.41,0
245,11637,ARAD,Peregu Mare,intravilan,582,120.4045,3305.41,10
246,11664,ARAD,Petri?,extravilan,3006,6037.3282,12984.18,0
247,11664,ARAD,Petri?,intravilan,801,350.2929,12984.18,5
248,11735,ARAD,Pilu,extravilan,2439,4325.033,7188.58,0
249,11735,ARAD,Pilu,intravilan,553,118.9632,7188.58,11
250,11762,ARAD,Ple?cu?a,extravilan,1527,1072.7618,7542.71,0
251,11762,ARAD,Ple?cu?a,intravilan,385,161.8251,7542.71,0
252,9654,ARAD,Pancota,extravilan,4006,4782.5388,6453.41,0
253,9654,ARAD,Pancota,intravilan,2533,523.4479,6453.41,295
254,11539,ARAD,Pauli?,extravilan,2937,3494.4091,13028.78,0
255,11539,ARAD,Pauli?,intravilan,1877,579.163,13028.78,49
256,9690,ARAD,Sebi?,extravilan,2472,2436.6605,6762.5,0
257,9690,ARAD,Sebi?,intravilan,1919,634.0719,6762.5,316
258,11940,ARAD,Secusigiu,extravilan,4711,8378.921,14186.39,0
259,11940,ARAD,Secusigiu,intravilan,2687,538.7281,14186.39,24
260,11995,ARAD,Seleu?,extravilan,4320,3707.9788,6018.09,0
261,11995,ARAD,Seleu?,intravilan,973,216.3987,6018.09,17
262,12037,ARAD,Semlac,extravilan,3562,6899.8115,8211.02,0
263,12037,ARAD,Semlac,intravilan,1274,381.511,8211.02,42
264,12055,ARAD,Sintea Mare,extravilan,4647,5678.4964,10889.24,0
265,12055,ARAD,Sintea Mare,intravilan,1153,322.1094,10889.24,15
266,12126,ARAD,Socodor,extravilan,3165,7901.5935,11884.07,0
267,12126,ARAD,Socodor,intravilan,867,258.9823,11884.07,10
268,12091,ARAD,Santana,extravilan,5871,9155.596,10729.36,0
269,12091,ARAD,Santana,intravilan,4206,853.3828,10729.36,148
270,11842,ARAD,Savar?in,extravilan,1753,2179.0358,20686.05,0
271,11842,ARAD,Savar?in,intravilan,1247,421.7339,20686.05,40
272,12457,ARAD,Tau?,extravilan,2287,5809.1095,20463.16,0
273,12457,ARAD,Tau?,intravilan,1151,950.8816,20463.16,0
274,12509,ARAD,Tarnova,extravilan,9453,10484.2267,20989.85,0
275,12509,ARAD,Tarnova,intravilan,2487,753.4846,20989.85,16
276,10765,ARAD,Ususau,extravilan,4958,5158.8227,13556.96,0
277,10765,ARAD,Ususau,intravilan,1071,436.9815,13556.96,6
278,12643,ARAD,Vinga,extravilan,7571,10114.1602,14142.99,0
279,12643,ARAD,Vinga,intravilan,2281,803.349,14142.99,74
280,9397,ARAD,Vladimirescu,extravilan,4934,7542.1851,12247.98,0
281,9397,ARAD,Vladimirescu,intravilan,9027,1709.7669,12247.98,629
282,12689,ARAD,Varfurile,extravilan,801,3349.8013,13470.02,0
283,12689,ARAD,Varfurile,intravilan,560,244.4114,13470.02,0
284,12572,ARAD,Varadia de Mure?,extravilan,722,2144.4004,11945.71,0
285,12572,ARAD,Varadia de Mure?,intravilan,725,487.5176,11945.71,23
286,12849,ARAD,Zerind,extravilan,2811,3925.6259,6254.58,0
287,12849,ARAD,Zerind,intravilan,715,806.0379,6254.58,4
288,12876,ARAD,Zimandu Nou,extravilan,2973,5784.9404,7411.88,0
289,12876,ARAD,Zimandu Nou,intravilan,2606,637.3778,7411.88,68
290,12778,ARAD,Zabrani,extravilan,3628,4291.3964,11588.93,0
291,12778,ARAD,Zabrani,intravilan,1805,552.834,11588.93,58
292,12938,ARAD,Zadareni,extravilan,1476,1797.6016,2526.32,0
293,12938,ARAD,Zadareni,intravilan,1327,220.8914,2526.32,40
294,12812,ARAD,Zarand,extravilan,1863,2670.1426,7522.27,0
295,12812,ARAD,Zarand,intravilan,938,244.2871,7522.27,12
296,12144,ARAD,?agu,extravilan,3374,6290.6767,10262.58,0
297,12144,ARAD,?agu,intravilan,2554,777.2003,10262.58,13
298,12206,ARAD,?eitin,extravilan,3082,4829.4986,6593.06,0
299,12206,ARAD,?eitin,intravilan,946,199.2228,6593.06,17
300,12224,ARAD,?epreu?,extravilan,5274,3409.1704,5802.57,0
301,12224,ARAD,?epreu?,intravilan,758,221.6719,5802.57,19
302,12242,ARAD,?icula,extravilan,9009,6883.2087,13118.16,0
303,12242,ARAD,?icula,intravilan,1563,661.0153,13118.16,20
304,12288,ARAD,?ilindia,extravilan,2506,2766.4145,6935.95,0
305,12288,ARAD,?ilindia,intravilan,586,245.6726,6935.95,2
306,12340,ARAD,?imand,extravilan,3470,7904.5896,10068.83,0
307,12340,ARAD,?imand,intravilan,2319,751.5226,10068.83,12
308,12368,ARAD,?iria,extravilan,11217,11936.3944,13656.93,0
309,12368,ARAD,?iria,intravilan,5614,2411.8834,13656.93,63
310,12402,ARAD,?i?tarova?,extravilan,1919,3757.3697,12267.22,0
311,12402,ARAD,?i?tarova?,intravilan,826,223.6939,12267.22,3
312,9360,ARAD,?ofronea,extravilan,1475,2212.0619,3489,0
313,9360,ARAD,?ofronea,intravilan,1416,415.4912,3489,23
314,13819,ARGES,Albe?tii de Arge?,extravilan,400,238.9231,4278.8,0
315,13819,ARGES,Albe?tii de Arge?,intravilan,1131,200.3366,4278.8,8
316,13891,ARGES,Albe?tii de Muscel,extravilan,605,4053.6502,12139.87,0
317,13891,ARGES,Albe?tii de Muscel,intravilan,606,202.9133,12139.87,0
318,13935,ARGES,Albota,extravilan,6643,4397.6743,5714.63,0
319,13935,ARGES,Albota,intravilan,5473,1323.208,5714.63,14
320,13999,ARGES,Aninoasa,extravilan,435,892.7515,5853.03,0
321,13999,ARGES,Aninoasa,intravilan,849,419.7577,5853.03,33
322,14049,ARGES,Arefu,extravilan,1321,9243.5285,41827.13,0
323,14049,ARGES,Arefu,intravilan,891,482.4398,41827.13,48
324,13187,ARGES,Bascov,extravilan,957,1349.7476,4095.13,0
325,13187,ARGES,Bascov,intravilan,4893,779.9126,4095.13,439
326,14352,ARGES,Bele?i-Negre?ti,extravilan,94,102.0673,4841.16,0
327,14352,ARGES,Bele?i-Negre?ti,intravilan,248,45.6884,4841.16,0
328,14405,ARGES,Berevoe?ti,extravilan,332,1388.4289,10023.11,0
329,14405,ARGES,Berevoe?ti,intravilan,654,145.7657,10023.11,9
330,14584,ARGES,Boga?i,extravilan,285,749.7108,7074.06,0
331,14584,ARGES,Boga?i,intravilan,863,148.9063,7074.06,4
332,14673,ARGES,Boteni,extravilan,232,287.8632,2446.64,0
333,14673,ARGES,Boteni,intravilan,552,125.3077,2446.64,2
334,14726,ARGES,Bo?e?ti,extravilan,113,187.4641,3592.82,0
335,14726,ARGES,Bo?e?ti,intravilan,343,56.1859,3592.82,0
336,13276,ARGES,Bradu,extravilan,1887,918.3247,4165.59,0
337,13276,ARGES,Bradu,intravilan,5007,1599.4902,4165.59,240
338,14753,ARGES,Bradule?,extravilan,243,531.9385,4510.73,0
339,14753,ARGES,Bradule?,intravilan,756,305.3237,4510.73,30
340,14851,ARGES,Budeasa,extravilan,688,1390.9294,4131.82,0
341,14851,ARGES,Budeasa,intravilan,1816,499.9321,4131.82,21
342,14922,ARGES,Bughea de Jos,extravilan,210,158.7035,1834.15,0
343,14922,ARGES,Bughea de Jos,intravilan,1040,183.5589,1834.15,4
344,20063,ARGES,Bughea de Sus,extravilan,174,804.8567,3290.05,0
345,20063,ARGES,Bughea de Sus,intravilan,701,228.6553,3290.05,12
346,14940,ARGES,Buzoe?ti,extravilan,4042,5692.537,14001.73,0
347,14940,ARGES,Buzoe?ti,intravilan,1578,606.8697,14001.73,41
348,14450,ARGES,Barla,extravilan,972,1171.2019,10373.23,0
349,14450,ARGES,Barla,intravilan,821,343.5304,10373.23,23
350,14085,ARGES,Babana,extravilan,470,432.3542,3948.57,0
351,14085,ARGES,Babana,intravilan,1483,402.0834,3948.57,4
352,14165,ARGES,Baicule?ti,extravilan,501,1134.015,7603.31,0
353,14165,ARGES,Baicule?ti,intravilan,1619,591.1003,7603.31,36
354,14272,ARGES,Balile?ti,extravilan,779,1700.6433,5977.74,0
355,14272,ARGES,Balile?ti,intravilan,1310,325.4583,5977.74,0
356,15313,ARGES,Cepari,extravilan,338,311.0523,3726.49,0
357,15313,ARGES,Cepari,intravilan,453,259.7895,3726.49,0
358,15402,ARGES,Ceta?eni,extravilan,281,975.8261,2903.33,0
359,15402,ARGES,Ceta?eni,intravilan,655,161.6478,2903.33,2
360,15448,ARGES,Cicane?ti,extravilan,186,980.5598,3415.95,0
361,15448,ARGES,Cicane?ti,intravilan,244,64.0176,3415.95,0
362,15493,ARGES,Ciofrangeni,extravilan,198,117.4823,4362.98,0
363,15493,ARGES,Ciofrangeni,intravilan,529,144.4478,4362.98,18
364,15554,ARGES,Ciomage?ti,extravilan,187,354.1402,3868.33,0
365,15554,ARGES,Ciomage?ti,intravilan,279,118.3993,3868.33,4
366,15652,ARGES,Cocu,extravilan,366,196.1658,5859.63,0
367,15652,ARGES,Cocu,intravilan,768,271.7999,5859.63,2
368,15741,ARGES,Corbeni,extravilan,690,1284.0448,6113.46,0
369,15741,ARGES,Corbeni,intravilan,1117,350.6521,6113.46,16
370,15830,ARGES,Corbi,extravilan,686,594.0911,5689.84,0
371,15830,ARGES,Corbi,intravilan,1146,222.6061,5689.84,2
372,13668,ARGES,Coste?ti,extravilan,1656,2244.5537,10834.24,0
373,13668,ARGES,Coste?ti,intravilan,2206,670.8192,10834.24,595
374,15983,ARGES,Cotmeana,extravilan,372,780.0194,7342.25,0
375,15983,ARGES,Cotmeana,intravilan,814,438.7216,7342.25,12
376,15901,ARGES,Co?e?ti,extravilan,622,911.7605,6233.94,0
377,15901,ARGES,Co?e?ti,intravilan,1060,240.8199,6233.94,3
